name,googleId,latitude,longitude,googleMapsUri,websiteUri,address,shortAddress,phoneNumber,photo
Academy Lane Apartment Homes,ChIJ8cA3dKIphYAREie0GPKQfY4,38.5551655,-121.74247690000001,https://maps.google.com/?cid=10267522094945543954,https://www.academylane.com/?utm_source=GBP&utm_medium=organic,"1124 F St, Davis, CA 95616, USA","1124 F St, Davis",(530) 290-6165,https://lh3.googleusercontent.com/places/ANXAkqGemIg-MnKYwnEHtsYNNFY4ULao0Q1I1wcnPxLylZQswL5_zHDuA1UrH3kIVBCPJUg2Qtl0UUIetKnhJmlCO3brbYNsgKmcaok=s4800-w600-h400
Orchard Park Apartments,ChIJ____s1QohYARuH1x_SWGQxo,38.5448052,-121.765171,https://maps.google.com/?cid=1892503766149725624,https://housing.ucdavis.edu/apartments/orchard-park/,"Orchard Park Cir, Davis, CA 95616, USA","Orchard Park Cir, Davis",(530) 747-7224,https://lh3.googleusercontent.com/place-photos/ADOriq35O6XB9FUnF_Sbm52xVGPBOzcgLKQ6IFLZb5PiNXIHNs8U5E5z_0bnHzI_WzOfO3KzS6q3CeLK9dhiVloL70wxg5qTAAaZdvylkiscbX1R2SD60dtFGsk2q2o9hQHHu7Kw5fr_=s4800-w600-h400
Lakeshore,ChIJ04O3_z8ohYARgaJauWhiZQk,38.553548000000006,-121.78843350000001,https://maps.google.com/?cid=677055520914973313,http://www.lakeshoreapt.com/,"1175 Lake Blvd, Davis, CA 95616, USA","1175 Lake Blvd, Davis",(530) 757-7926,https://lh3.googleusercontent.com/places/ANXAkqHoBaVZ3ebrSRvaEZ9OJmnBAL2gX7ZT3iQ7qDiepUyR61dQpXrxN7Hx6Z5pNtBHEIC_lgb3X7Vzr9JsIBsjaTcBkNinKZWCyYM=s4800-w600-h400
Avalon Apartments,ChIJM2kdNmEphYAR68NUO5j-vkk,38.538311,-121.72467800000001,https://maps.google.com/?cid=5313964540127658987,http://www.liveavalondavis.com/,"1617 Valdora St, Davis, CA 95618, USA","1617 Valdora St, Davis",(530) 231-5719,https://lh3.googleusercontent.com/places/ANXAkqGL-TrRIBWPpSqsu1yrjSQm7buOoOktKZ1Lfkob9HYAEj9qyxohY2FYhhcBQvbB0g9K6jJ1M8qUvfh1ubSekq5s8_t2r-9LOk4=s4800-w600-h400
Sherwood & Forest Arms Apartments,ChIJpey5BRMphYAR83JKZxGrBTE,38.5485591,-121.7653588,https://maps.google.com/?cid=3532417573977748211,https://www.rentingdavis.com/sherwood-arms-apartments/,"1411 Wake Forest Dr, Davis, CA 95616, USA","1411 Wake Forest Dr, Davis",(530) 758-8711,https://lh3.googleusercontent.com/places/ANXAkqHM63nncAb5YLQD23uZYMS6MtA4TeoHkezLZeOBtGyRivT1cIE-1UK1EWkdBTeuRkXz0BOknoxHcUcQ7FwUuEMPRS7AucvhQRM=s4800-w600-h400
J Street Apartments,ChIJn7a_apgphYARO2cksvcxY6Q,38.5568567,-121.74148710000001,https://maps.google.com/?cid=11845366384829949755,https://www.jstapts.com/,"1111 J St, Davis, CA 95616, USA","1111 J St, Davis",(530) 756-2100,https://lh3.googleusercontent.com/places/ANXAkqFo25RV427JxU2BRnSae6gfqoHqYiRu1fKg3qOpD15ICjLiBc-HV_e1LcqR709WvyAfQZbXSLd27WEfDaU1rZSf7LUClPUfJgY=s4800-w600-h400
The U Apartments,ChIJmRQHw30phYARr125i_BW_Sg,38.5496102,-121.7208849,https://maps.google.com/?cid=2953612521761234351,https://www.theudavis.com/?67805&utm_source=obl&utm_medium=organic,"625 Cantrill Dr, Davis, CA 95618, USA","625 Cantrill Dr, Davis",(530) 513-6145,https://lh3.googleusercontent.com/places/ANXAkqGyj3QGNLjumrxsLwxkFbmpA0qpa_JI7uak2rWpDGS_Kadcs3ieeMw3DlibNPsWCu52KhZhiNxFu3NetbN1CaXEA0GceTeGjuM=s4800-w600-h400
Davisville Management Company,ChIJ3aiNr30phYARup-W1ucKKg4,38.548474999999996,-121.72145750000001,https://maps.google.com/?cid=1020640256406757306,https://www.davisapartmentsforrent.com/,"2525 2nd St, Davis, CA 95618, USA","2525 2nd St, Davis",(530) 758-5800,https://lh3.googleusercontent.com/places/ANXAkqG-rJlpQmtMxJuRZGu2LBToh-irOmbNUWf0VQkOIwE7rdO4HIxtwBZTvNB4HV0QngDCmLoNM0rIZ_f-s1yV2kPvAHBM_5ulmOw=s4800-w600-h400
Alvarado Parkside Apartments,ChIJBy7qubkphYARIXNuAHFhLMQ,38.5613515,-121.75182029999999,https://maps.google.com/?cid=14135780468375581473,https://www.rentingdavis.com/alvarado-parkside,"520 Alvarado Ave, Davis, CA 95616, USA","520 Alvarado Ave, Davis",(530) 758-7070,https://lh3.googleusercontent.com/places/ANXAkqGi1U1yeT9FJKStMwNlwjurdDZKz4XM1hQfP2cktugTic7aducudyNchzpSFsfDY-LJo8qtMRJXmzdaZU3ZW70OIwXUS50thsU=s4800-w600-h400
Greystone,ChIJg472R34phYARi59rxmWwmVI,38.5530083,-121.7205796,https://maps.google.com/?cid=5951982333713948555,http://www.greystoneapts.com/,"2505 5th St, Davis, CA 95618, USA","2505 5th St, Davis",(530) 758-2200,https://lh3.googleusercontent.com/places/ANXAkqFK75cUCLlHONKaj5TR-Z5WPc9E9ibIwrAOCsqSPw57LIzNz9KQVVdV2fh8m80bICab_GfOPpFcaR2BbRSFDv7C9P8pi0bSd2Q=s4800-w600-h400
University House,ChIJod6MxnYphYARhVIIvjnCuUA,38.546600999999995,-121.73460589999998,https://maps.google.com/?cid=4663972442376000133,https://www.simmonsre.net/university-house,"320 K St, Davis, CA 95616, USA","320 K St, Davis",(530) 753-3636,https://lh3.googleusercontent.com/places/ANXAkqHgVJgFwIkViwQVCgrnYALyG1LBiij4_3OWrZcJv21voluOo1RAo1SltnBPsXcKbXotf1JK9jLqp3feMAQe3qE7iX3_VbGvOec=s4800-w600-h400
MarCo at the Cannery Apartments,ChIJ0wd3iGcphYAReQJ19phA8Pg,38.5616422,-121.74235929999999,https://maps.google.com/?cid=17937908341530755705,https://www.marcocanneryliving.com/,"2500 Cannery Loop, Davis, CA 95616, USA","2500 Cannery Loop, Davis",(530) 404-0568,https://lh3.googleusercontent.com/places/ANXAkqFRr-xHSz_Xt5HZXCuwC1rQE2lAxa1dKnMjtDjh-aH6uLyVlG86QB9UmZdntX3lI2BIxeazBXtkbhC9coSFGLRbk_f8_Mp0uew=s4800-w600-h400
Cottages on 5th,ChIJu95lSl4phYARLiKU8T-0u5k,38.549568099999995,-121.72605129999998,https://maps.google.com/?cid=11077645895176823342,https://www.daviscottages.com/?switch_cls[id]=95024&utm_source=google%20-%20entratammb&utm_medium=organic&utm_campaign=gmb&utm_content=website%20click,"500 Pole Line Rd, Davis, CA 95618, USA","500 Pole Line Rd, Davis",(530) 758-3240,https://lh3.googleusercontent.com/places/ANXAkqHN09qpRdBqW3UXpUrrriQgTBLfgRT9ULDsTOe16US7LH_yRlcVVLlXraa74o_605sRllBpW4x9hLg6csIOqX0gD49nBOQsUTk=s4800-w600-h400
Sorrento Apartments,ChIJM2kdNmEphYAR7NZl0zc4HI0,38.5395013,-121.7230862,https://maps.google.com/?cid=10168063871116760812,http://www.livesorrentodavis.com/,"1540 Valdora St, Davis, CA 95618, USA","1540 Valdora St, Davis",(530) 290-8359,https://lh3.googleusercontent.com/places/ANXAkqGLaLBmuXWWZV_ylkjrTnzUxwqOOOsHjuAZPzSoFmUIG5JPx8zct6NywyX4Fgx8-cpyq7PgMpDPhMoGpAlJ5iLUeuWkkv7qS6E=s4800-w600-h400
Identity Davis,ChIJxcWb-DIphYARCZ1kIWKXqAA,38.5469483,-121.76469110000001,https://maps.google.com/?cid=47454243810221321,https://www.identitydavis.com/?utm_perq=gbp,"525 Oxford Cir, Davis, CA 95616, USA","Sigma Nu Fraternity, 525 Oxford Cir, Davis",(208) 261-1851,https://lh3.googleusercontent.com/places/ANXAkqGkUNgRycLBT3X6rhD8i0ORTQMy_VF33P9Juf1V2Et5BKPRAj2yOpsRqZjy_9ynCNfXruadlNgN5ABMzXOn7P_JcEIwuJV2-b8=s4800-w600-h400
College Street Apartments,ChIJCSCSxIIphYARxFx_9719V_U,38.5536962,-121.72994340000001,https://maps.google.com/?cid=17678737117120781508,https://www.rentingdavis.com/college-street-apartments/,"1805 E 8th St, Davis, CA 95616, USA","1805 E 8th St, Davis",(530) 757-7368,https://lh3.googleusercontent.com/places/ANXAkqFbdDnYB_CXo9wwnjQjR0JlbePAb1HE64uH4ap9ARAYBEPQTFMgxESsMYLUkx9dHJcFZyabkvw0H1-H4qP9zWJ0mPLCO5xVA_g=s4800-w600-h400
Seville at Mace Ranch,ChIJTSs8QMorhYARiWoNxCBjc2Y,38.5596885,-121.69675439999999,https://maps.google.com/?cid=7382353206569691785,https://www.liveattheseville.com/,"4501 Alhambra Dr, Davis, CA 95618, USA","4501 Alhambra Dr, Davis",(530) 461-5118,https://lh3.googleusercontent.com/places/ANXAkqFT6uOkYuVznPOHzEuAV0t5GeKC6nKRAErJlf8oGCakg4aGHXVkXc0pjTT3GB4MvOZbHd8IZI17cFY0-g04CONZ805x49e6-2o=s4800-w600-h400
DaVinci,ChIJGZAau2gphYARkH52E12WjYM,38.5366114,-121.73174669999997,https://maps.google.com/?cid=9479398117187419792,https://www.liveatdavinci.com/,"1666 Da Vinci Ct, Davis, CA 95618, USA","1666 Da Vinci Ct, Davis",(530) 750-5100,https://lh3.googleusercontent.com/places/ANXAkqHn1PJvtGIe1ArDrwf8rPLz_wLmCHzwR5Ntnb1cbmnRFaomlzhaes-svfOj4622pWrvT1e2QjJ6kXtyvAHONnhOm17z4duRT_8=s4800-w600-h400
Westwood,ChIJp0GiuU0ohYARaAseYnYqzLA,38.5511641,-121.7686749,https://maps.google.com/?cid=12739604133864934248,https://www.westwoodaptliving.com/,"800 Adams St, Davis, CA 95616, USA","800 Adams St, Davis",(530) 753-3441,https://lh3.googleusercontent.com/places/ANXAkqHEz4O-C6odyWwebJKMSCZVaEY5Hc4iwSaXJObuTis9c1DgTGEkdc3lwlquK5YYr7-0xyi6jUQM3DNpaCAmNhDyRG190187NPk=s4800-w600-h400
La Casa de Flores Apartments,ChIJ9W1Cs6wphYAR13YDcrf1ezs,38.5469627,-121.7651901,https://maps.google.com/?cid=4286289638613808855,http://www.lacasadeflores.com/,"517 Oxford Cir, Davis, CA 95616, USA","517 Oxford Cir, Davis",(530) 756-7699,https://lh3.googleusercontent.com/places/ANXAkqGHUh4mZsOw_dAVeMI5IkPZHLZmZtDTt2YJljqv9gTC2zn6HXqRCasghZeVC3DMIFUllzCqd0ag-hmpYDMY7DxYQOGIm6Jb-pU=s4800-w600-h400
University Court,ChIJo5IZgKwphYARFtrVdwa4DBo,38.5469777,-121.76250990000001,https://maps.google.com/?cid=1877077482626472470,http://universitycourt.net/?utm_source=google%20-%20entratammb&utm_medium=organic&utm_campaign=gmb&utm_content=website%20click,"515 Sycamore Ln, Davis, CA 95616, USA","515 Sycamore Ln, Davis",(530) 753-5429,https://lh3.googleusercontent.com/places/ANXAkqF7hZ9rCGHpiz4vYq65I--LF1Ct6UqC9puqaDBRDYrMYAU8JqnVES4s6QfeM79ciEPY3MavRpdQ_IgeanNCb4-Jw-VFtBz5Apw=s4800-w600-h400
Chaparral Apartments,ChIJK9jJFzMohYAR1Nzt-XoRrBY,38.566287,-121.76664000000001,https://maps.google.com/?cid=1633699984705445076,http://chaparral.tandemproperties.com/,"2689 Sycamore Ln, Davis, CA 95616, USA","2689 Sycamore Ln, Davis",(877) 837-6795,https://lh3.googleusercontent.com/places/ANXAkqGSYiWoOBS8pdPPSisFYzUNIUoqpHkWQ-6VgnfGl8cxG-U1_mbenX5BvnYd2rCaBY5t-eNiQ_m57uc_RpA3ylmRLiCGGYRdng0=s4800-w600-h400
B St Apartments by Brittain Commercial,ChIJezwfeeYphYARDsguds_h8tk,38.5431452,-121.74491799999998,https://maps.google.com/?cid=15704863131751598094,https://www.brittaincommercial.net/,"217 B St, Davis, CA 95616, USA","217 B St, Davis",(860) 785-2168,https://lh3.googleusercontent.com/place-photos/ADOriq3wCH0BUaqOsJDvYalopxMi7SnFQf8MOf9NRcC5R7Q4KgqTqlFoxMtmAN1L5Hvr5ztpH0YN7ICm1D44MM7gn5USx3E6TH9wq-7R4V9FV_yBwvij_uA2MGMkibsPuo29KiQlQCpnJw=s4800-w600-h400
298 Celadon,ChIJFf2xaAAphYARscgIUp9UPVQ,38.5425344,-121.77310100000001,https://maps.google.com/?cid=6070100916018137265,,"298 Celadon St, Davis, CA 95616, USA","298 Celadon St, Davis",,
Almondwood Apartments,ChIJZ7Ynh8ophYARuLLFYMVw1SM,38.561346,-121.76352299999999,https://maps.google.com/?cid=2582093954401284792,https://www.davisapartmentsforrent.com/almondwood/,"1212 Alvarado Ave, Davis, CA 95616, USA","1212 Alvarado Ave, Davis",(530) 753-2115,https://lh3.googleusercontent.com/places/ANXAkqH4gjYCoFhLBXlgG_5CbeMag3iUXVLmIGeVbQJ3xwM6oENUqt79LXLy7hEFLdAumv0UqMbn--jxutAFP37V0qfgZa4esH1Fe0s=s4800-w600-h400
The Celeste,ChIJlXmXLeIrhYARbzx_kLtHink,38.55001610000001,-121.70357240000001,https://maps.google.com/?cid=8757891296284064879,http://liveatceleste.com/,"3820 Chiles Rd, Davis, CA 95618, USA","3820 Chiles Rd, Davis",(530) 564-3820,https://lh3.googleusercontent.com/places/ANXAkqFrHrhe9Fuld2KjYye467k1I8DtG7YvkIL89fciN4WcBPKIg_8Xt21E1RH8jJSgTjzbAm3y7rhRhKv3Am5xmq5E31-gCS8dg4k=s4800-w600-h400
The Green at West Village,ChIJNd_8UdcphYAR16TqXuG4uzM,38.541814699999996,-121.77679789999999,https://maps.google.com/?cid=3727776394678805719,https://thegreen.ucdavis.edu/,"2228 Tilia St, Davis, CA 95616, USA","2228 Tilia St, Davis",(530) 752-2033,https://lh3.googleusercontent.com/place-photos/ADOriq2cZ_8Br3BGh5p4CavEQGvLs29VJA2djX2rN5uXOobhhFLNZ1kB-QKfemCyhk4NPSmdJ66G4Ii6WcKeymPw3QyvCvnBlN0lDRqb4iTbdcIK1L5wvUPXtLN5xvQQLSEFHbOvpt_KUA=s4800-w600-h400
Casitas,ChIJkX8cEcophYARn7C4DKmhyzg,38.5623164,-121.75822850000002,https://maps.google.com/?cid=4092542433831202975,http://casitas.tandemproperties.com/,"717 Alvarado Ave, Davis, CA 95616, USA","717 Alvarado Ave, Davis",(877) 850-5994,https://lh3.googleusercontent.com/places/ANXAkqFFV-0OTDWJcvP7n0kdyGEiMeffwPzuHqgTfk6PAWQwyvHM99dKQTPkHjXaTZa2-cmA-UGVbs6MWsjC2d5AT11MgYBI3iSwWvM=s4800-w600-h400
The Spoke,ChIJ122ZHp8phYARQqRhM7SaH0w,38.5536155,-121.7400588,https://maps.google.com/?cid=5485272969907381314,https://livethespoke.com/?switch_cls[id]=98512,"801 J St, Davis, CA 95616, USA","801 J St, Davis",(530) 513-6375,https://lh3.googleusercontent.com/places/ANXAkqGGPzbrevPE5vv2Tc3RK2ZutmlBqZn7F-b9rMJspsgKqdUSSx_sNLORM2zohi2U17S8nrYUD-hHSBZ5TudyVIAc4kLdfySxgdM=s4800-w600-h400
Temescal,ChIJ5ZxFpjQohYARyY84fIoPrXU,38.5646434,-121.76602739999998,https://maps.google.com/?cid=8479450760872497097,https://www.temescalapartments.com/?utm_source=GBP&utm_medium=organic,"2477 Sycamore Ln, Davis, CA 95616, USA","2477 Sycamore Ln, Davis",(530) 298-7698,https://lh3.googleusercontent.com/places/ANXAkqFff0qtvauGxTzA9EjOWXi6TeIRtYYYJdO_G_51t8YkCIRon45DCoIu16DJ69OO9_i57cEwi-mw53BZ74F7c37SzU9VeZOr7nA=s4800-w600-h400
Sycamore Lane Apartments,ChIJtR5SbKwphYARO32tiMzpHzI,38.5481719,-121.76038360000001,https://maps.google.com/?cid=3611862490850098491,https://www.sycamorelanedavis.com/,"614 Sycamore Ln, Davis, CA 95616, USA","614 Sycamore Ln, Davis",(530) 756-4186,https://lh3.googleusercontent.com/places/ANXAkqHPv8fZPf3UC__vwiaXJHUjKy5G_PR7rO_G6rCpm8YZpEbzU1UsD3u7Om_gSzS7yiqVPkkXOHkaI0jDLF9f8VE2OJL2hHl7Hno=s4800-w600-h400
Eleanor Roosevelt Circle,ChIJaXpOtLUphYARJBR4L0CBFp0,38.5509351,-121.72055060000001,https://maps.google.com/?cid=11319376826116609060,,"675 Cantrill Dr, Davis, CA 95618, USA","675 Cantrill Dr, Davis",,https://lh3.googleusercontent.com/place-photos/ADOriq3X3wAcvQ5_OTyfyXhtazb8O-g0QJfJFYt1lv3u1isZVX8yk-8zlBag9P-nJauGeH_X6rliRDVUZo7THE26PUEdBBOMzBz4zp-51DYy-OFkc-xGHmITuPnzhI7gohK9fSjCVbeDYw=s4800-w600-h400
Cascade Apartments,ChIJzch2lHgphYARdX1Ydrncyuw,38.552854499999995,-121.72751740000001,https://maps.google.com/?cid=17062692827359116661,https://www.rentingdavis.com/cascade-apartments/,"771 Pole Line Rd, Davis, CA 95618, USA","771 Pole Line Rd, Davis",(530) 758-4601,https://lh3.googleusercontent.com/places/ANXAkqHcrQHBTW9w7kxJjvRyfVaBjsy3Bd-zUJ6DERJ0inItwboSY9xbyDvOrU6u06H3NvFrz4QAhWJUHcV7Ew5OVvpJNK8zBU_NE2k=s4800-w600-h400
Pinecrest Apartments,ChIJlaApdJcphYARsF0W43Y_9vk,38.5591405,-121.7407546,https://maps.google.com/?cid=18011653539563462064,https://www.pinecrest-davis.com/?utm_source=GMB&utm_medium=organic,"920 Cranbrook Ct, Davis, CA 95616, USA","920 Cranbrook Ct, Davis",(844) 890-0837,https://lh3.googleusercontent.com/places/ANXAkqGF_OtHldwsYwwbccUv-6RyaDh5xjN64qs9lbpbKHtAkJQdaEhzVZ6nHiJE_a7Ji5CfnX-nLzShNCvvYU_L4VTF3Ino6NTJY1Q=s4800-w600-h400
Russell Park Apartments,ChIJwc8ZF6sphYARRKqVv_P4hSo,38.543923,-121.763966,https://maps.google.com/?cid=3064128847270488644,http://russellpark.tandemproperties.com/,"Russell Park Community Center, 400 Russell Park, Davis, CA 95616, USA","Russell Park Community Center, 400 Russell Park, Davis",(877) 801-7285,https://lh3.googleusercontent.com/places/ANXAkqFTkoYUYBzClmFDYQtFWNCM2pLrO5mLPlhFm1bGslVL2mzeglPKp7qwoGLDxE0Tq77pdwz4PKy28yD0r5JyDL1HPyKUFarhxLY=s4800-w600-h400
Gate Way Properties,ChIJJQJ6H9YrhYARy8pnBTT1NsI,38.548491899999995,-121.7214735,https://maps.google.com/?cid=13994642495878187723,,"2525 2nd St, Davis, CA 95618, USA","2525 2nd St, Davis",(530) 758-7666,https://lh3.googleusercontent.com/places/ANXAkqE60m4-wkAZ5WKWYLADPRYRbBVwQX7T2tjezl3uxIntcH0jQEZwhJPurOCBWaNPL9AiicGkZrwaW9CyCEjnCV_I3IM7tyFFWfw=s4800-w600-h400
Cannery Village,ChIJW51y_b0phYARxXOyrKpTfdE,38.5622477,-121.74289739999998,https://maps.google.com/?cid=15095313518522692549,http://www.bartlettcommons.com/,"900 Jacobsen Ln, Davis, CA 95616, USA","900 Jacobsen Ln, Davis",(530) 368-4825,https://lh3.googleusercontent.com/place-photos/ADOriq0PZ7cWySr-jXRlRp1sIZR_XJcOXgmX5Ho9T-2_TPHw03N-kia31hwLhzvrfnOPdOqd4rw7gcsrZlROezC6S8C2p68GRqUhxzTNN2BJFqp6XDQsjWsfvw5mXiEUXB5txGb_Ezn6=s4800-w600-h400
Axis at Davis,ChIJJV9eSnQphYARUikHeRQTfyk,38.545555900000004,-121.72338970000001,https://maps.google.com/?cid=2990129656248084818,http://axisdavis.com/,"2555 Research Park Dr, Davis, CA 95618, USA","2555 Research Park Dr, Davis",(530) 297-8580,https://lh3.googleusercontent.com/places/ANXAkqE3ifcRprzSBPoZE6o7UI2-OFbQqq1TWme5fxBuqhucbuM6RaMb9AcYMLfoZvpjvgvwXzNBesCbnbWjfpt1pRj1wLHrZVDlU20=s4800-w600-h400
Suntree Apartments,ChIJeZ06nL4phYARJVaBYB2KiJM,38.561521,-121.74621799999998,https://maps.google.com/?cid=10630898779185829413,http://suntree.tandemproperties.com/,"2033 F St, Davis, CA 95616, USA","2033 F St, Davis",(877) 893-5860,https://lh3.googleusercontent.com/places/ANXAkqEgDZ6sQs8t5D0co9WrHmjdUjm94v0ghZgrPIyOKsN6Rgt7ItdhIii44ZgymELjSXZEu2Bz7K-_ICdpbPys1wsxlyyTKRZKfG0=s4800-w600-h400
Tandem Properties,ChIJeX5D7cQphYARCntqlQe17c8,38.572792299999996,-121.7495613,https://maps.google.com/?cid=14982830579507690250,http://www.tandemproperties.com/,"3500 Anderson Rd, Davis, CA 95616, USA","3500 Anderson Rd, Davis",(530) 756-5075,https://lh3.googleusercontent.com/place-photos/ADOriq2_mmCl249C1ZD77WiRfiU8ZUThA_zpcs3WvPOYA_H2dkCvYD-9tQmwNdcs9uDSstMivg3hzoNkPTY8-FeNbsqOSKSkGWXSg5EHdxROcRHdlUyQKjLIK4kb-Ftv9JkFotrp8xw=s4800-w600-h400
La Salle Apartments,ChIJcREk9LUphYARqIpyijZUK1E,38.5614457,-121.760459,https://maps.google.com/?cid=5848861134298450600,http://www.lasalleapts.com/,"880 Alvarado Ave, Davis, CA 95616, USA","880 Alvarado Ave, Davis",(530) 753-5155,https://lh3.googleusercontent.com/place-photos/ADOriq0_hOGCiTaf-GZCyT1G50r8rcfttPDZvFKOJwE4B-TBj77OocDSi2VfpXbOfr3Y_USaMgDTy965ERmozX5AvabqoBNvUyUL5HCdiosjq7628wkBRAkpCaJFAhB_YDc4k9oiahuj=s4800-w600-h400
Portage Bay,ChIJ_6XTBmoohYAR_o1LOALacKY,38.5494164,-121.78774849999999,https://maps.google.com/?cid=11993325510756896254,http://www.portagebayapts.com/,"2949 Portage Bay W, Davis, CA 95616, USA","2949 Portage Bay W, Davis",(530) 758-3190,https://lh3.googleusercontent.com/places/ANXAkqF6YRCXFkh8LhdgoSU-P2Nsq1FZ6Xkwm6CpNlShHiTv861aTx2ZNt7s07-8U_14FuaIZKh6Pq0pCgZ_91wz1rRsQVPTtiT6z8U=s4800-w600-h400
Greenbriar,ChIJM0FB-KEphYARhFoKwZDW5g0,38.552799199999995,-121.74320979999999,https://maps.google.com/?cid=1001723884338829956,http://www.greenbriardavis.com/,"581 9th St, Davis, CA 95616, USA","581 9th St, Davis",(530) 753-0710,https://lh3.googleusercontent.com/place-photos/ADOriq1Tl-gEBEr5u42YjEHisTIIU9aUMkowWLIB_ZdPGwYe2eqXug-ccKDtrLtjmh0zlY2sSzoa8yTSjTiALks-LomZajolJxYbKQd5hB5DNGZA33B6KOIEjjKUPY2PHPfMPOCqY4Z4tg=s4800-w600-h400
